"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2024","1.0762","1.0798","1.0806","1.0761","","-0.33%"
"02/11/2024","1.0798","1.0781","1.0798","1.0781","","0.15%"
"02/09/2024","1.0782","1.0779","1.0796","1.0761","","0.06%"
"02/08/2024","1.0776","1.0772","1.0790","1.0741","","0.05%"
"02/07/2024","1.0771","1.0755","1.0784","1.0753","","0.16%"
"02/06/2024","1.0754","1.0743","1.0763","1.0723","","0.12%"
"02/05/2024","1.0741","1.0784","1.0787","1.0723","","-0.40%"
"02/02/2024","1.0784","1.0873","1.0898","1.0780","","-0.81%"
"02/01/2024","1.0872","1.0814","1.0876","1.0779","","0.52%"
"01/31/2024","1.0816","1.0844","1.0889","1.0795","","-0.22%"
"01/30/2024","1.0840","1.0833","1.0857","1.0811","","0.06%"
"01/29/2024","1.0833","1.0849","1.0850","1.0796","","-0.18%"
"01/26/2024","1.0852","1.0843","1.0885","1.0812","","0.06%"
"01/25/2024","1.0846","1.0885","1.0903","1.0821","","-0.34%"
"01/24/2024","1.0883","1.0854","1.0933","1.0845","","0.29%"
"01/23/2024","1.0851","1.0883","1.0917","1.0821","","-0.28%"
"01/22/2024","1.0881","1.0891","1.0911","1.0879","","-0.15%"
"01/19/2024","1.0897","1.0876","1.0898","1.0865","","0.21%"
"01/18/2024","1.0874","1.0882","1.0907","1.0846","","-0.06%"
"01/17/2024","1.0881","1.0874","1.0885","1.0844","","0.06%"
"01/16/2024","1.0874","1.0950","1.0952","1.0862","","-0.68%"
"01/15/2024","1.0948","1.0955","1.0969","1.0933","","-0.01%"
"01/12/2024","1.0949","1.0974","1.0987","1.0935","","-0.19%"
"01/11/2024","1.0970","1.0973","1.0991","1.0929","","-0.01%"
"01/10/2024","1.0971","1.0931","1.0974","1.0922","","0.37%"
"01/09/2024","1.0931","1.0952","1.0967","1.0910","","-0.16%"
"01/08/2024","1.0949","1.0946","1.0979","1.0922","","0.07%"
"01/05/2024","1.0941","1.0947","1.0999","1.0876","","-0.02%"
"01/04/2024","1.0943","1.0921","1.0973","1.0915","","0.20%"
"01/03/2024","1.0921","1.0943","1.0966","1.0892","","-0.24%"
"01/02/2024","1.0947","1.1044","1.1046","1.0938","","-0.88%"
"01/01/2024","1.1044","1.1044","1.1048","1.1036","","0.07%"
"12/29/2023","1.1036","1.1061","1.1085","1.1034","","-0.21%"
"12/28/2023","1.1059","1.1107","1.1141","1.1055","","-0.40%"
"12/27/2023","1.1103","1.1043","1.1123","1.1028","","0.55%"
"12/26/2023","1.1042","1.1010","1.1046","1.1008","","0.32%"
"12/25/2023","1.1007","1.1017","1.1022","1.0993","","-0.03%"
"12/22/2023","1.1010","1.1010","1.1041","1.0993","","0.02%"
"12/21/2023","1.1008","1.0941","1.1013","1.0934","","0.64%"
"12/20/2023","1.0938","1.0980","1.0985","1.0929","","-0.38%"
"12/19/2023","1.0980","1.0924","1.0988","1.0914","","0.53%"
"12/18/2023","1.0922","1.0903","1.0932","1.0891","","0.26%"
"12/15/2023","1.0894","1.0994","1.1005","1.0889","","-0.88%"
"12/14/2023","1.0991","1.0874","1.1010","1.0872","","1.09%"
"12/13/2023","1.0873","1.0793","1.0898","1.0773","","0.75%"
